epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,4992.16,1.79995,2.56232,1.33205,0.00782,1.04137,0.6767,0.45384,0.58455,0.37517,0.65505,0.44033,0.56843,0.33422,1.76174,2.6547,1.3943,0.00975,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,5050.07,1.78552,2.53279,1.31657,0.00775,1.04186,0.71668,0.43717,0.59162,0.38003,0.69199,0.42258,0.57346,0.339,1.77971,2.61155,1.37264,0.00988,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,5107.83,1.77872,2.53028,1.30582,0.00772,1.02394,0.68643,0.44548,0.58365,0.37624,0.67152,0.43574,0.57233,0.34043,1.7607,2.63269,1.38934,0.00986,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,5165.75,1.77492,2.52624,1.30672,0.00772,1.0244,0.69032,0.45243,0.58687,0.37644,0.66899,0.4384,0.57114,0.33483,1.74586,2.65192,1.38609,0.00972,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,5223.35,1.79068,2.54037,1.32093,0.0078,1.0403,0.65587,0.46932,0.58365,0.37171,0.63467,0.45418,0.56599,0.33127,1.74124,2.63854,1.38235,0.00976,0,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,5281.45,1.78524,2.54458,1.31177,0.00767,1.03498,0.68253,0.44816,0.58381,0.37502,0.66519,0.43695,0.57041,0.33372,1.76799,2.62363,1.39911,0.00978,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,5339.16,1.77792,2.53181,1.30579,0.00769,1.03676,0.6795,0.44363,0.5808,0.37417,0.65743,0.42941,0.56333,0.32969,1.75306,2.65739,1.41227,0.00978,0,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,5397.05,1.76421,2.51912,1.30971,0.00775,1.03344,0.68871,0.45751,0.592,0.37995,0.67016,0.44507,0.57723,0.3388,1.74916,2.62656,1.38157,0.00975,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,5456.43,1.76728,2.53041,1.30136,0.00774,1.0253,0.68924,0.44587,0.58565,0.37418,0.67031,0.43366,0.5708,0.33045,1.76658,2.61786,1.38325,0.00977,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,5527.85,1.78662,2.545,1.31394,0.00772,1.04592,0.66985,0.4617,0.58405,0.37224,0.65117,0.44868,0.56789,0.3301,1.76612,2.64654,1.39207,0.00986,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
